company,skills
freshdesk,"algorithms  ,  bi  ,  sql  ,  crm  ,  san  ,  python  ,  natural language processing  ,  machine learning  ,  messaging"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"san  ,  python  ,  mining  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"san  ,  python  ,  mining  ,  machine learning"
ORACLE,"production  ,  enhancements  ,  action  ,  industry knowledge  ,  implementation  ,  planning"
WALMART INDIA,"information technology  ,  big data  ,  python  ,  director  ,  hive  ,  scala  ,  ensemble  ,  dcm  ,  hadoop  ,  san  ,  problem solving  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  devops  ,  software engineering  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"docker  ,  sql  ,  software engineering  ,  cloud computing  ,  san  ,  python  ,  machine learning  ,  infrastructure"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"data science  ,  statistical modeling  ,  data scientist  ,  san  ,  data analytics  ,  data analysis  ,  predictive analytics  ,  statistical analyst  ,  business environment"
Citibank India,"use cases  ,  data analytics  ,  domain expert  ,  predictive modeling  ,  sql  ,  data science  ,  information management  ,  sas  ,  analyst  ,  statistical analysis"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"text analytics  ,  logistic regression  ,  data analytics  ,  linear regression  ,  sql  ,  data science  ,  statistical modeling  ,  data scientist  ,  san  ,  data analysis"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"mathematics  ,  principal  ,  art  ,  history  ,  economics  ,  science  ,  statistics"
Veeva Systems,"apache  ,  api  ,  big data  ,  python  ,  data warehousing  ,  sql  ,  crm  ,  san  ,  machine learning  ,  written communication"
Veeva Systems,"apache  ,  api  ,  big data  ,  python  ,  data warehousing  ,  sql  ,  crm  ,  san  ,  machine learning  ,  written communication"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
APPLYCUP HIRING SOLUTIONS LLP,"python  ,  data warehousing  ,  senior software engineer  ,  machine learning  ,  sql  ,  nosql  ,  java  ,  git  ,  ror  ,  cassandra  ,  mongodb"
VSH Solutions,"python  ,  data warehousing  ,  machine learning  ,  sql  ,  nosql  ,  java  ,  git  ,  ror  ,  cassandra  ,  mongodb"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  data structures  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"algorithms  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"hive  ,  scala  ,  sql  ,  shell scripting  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  mapreduce"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  ds  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
rackspace technology,"sql  ,  security  ,  hadoop  ,  big data  ,  san  ,  cloud services  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  big data  ,  cloud computing  ,  san  ,  python  ,  machine learning  ,  infrastructure"
CAREERXPERTS CONSULTING,"com  ,  hive  ,  algorithms  ,  natural language processing  ,  scala  ,  information retrieval  ,  mining  ,  machine learning  ,  java  ,  mapreduce"
